"participant","condition","efficacy","latency","precision","val","valGuessing","pLRtest","model","BF","favouredModel"
"18AH2",2,0.399156232147909,2.79856323094613,0.21679712329671,225.256142108753,262.705016896995,3.81084574564095e-16,"Gamma",8945288729625.97,"Normal"
"18GL7",2,0.423090645208133,1.70204226224872,0.628558347364754,232.744924464917,265.76767458695,2.99706378503656e-14,"Gamma",17105.7598849291,"Normal"
"18HB9",2,0.362735313207767,4.00143785401575,0.313234193809654,220.104218004992,246.956863389235,1.29677572384499e-11,"Gamma",128.680377047045,"Normal"
"18JC",2,0.506882778969836,1.88877162413587,0.573063992200923,217.976541206033,262.470144968831,3.61474735303787e-19,"Gamma",154927.350098954,"Normal"
"18JG",2,0.705781608839015,3.2399227469326,0.291164388581244,170.360733022064,263.434822869152,4.14591479412761e-40,"Gamma",11.5339861356721,"Normal"
"18LS4",2,0.428052040956919,2.23832034567057,0.533147763647303,242.160397131066,275.905526841758,1.47073569057414e-14,"Gamma",1002.36360087642,"Normal"
"18PF6",2,0.586727309364798,2.07151318913929,0.226370409758514,188.969899065761,264.91538100762,1.02999195921543e-32,"Gamma",2343306.99924927,"Normal"
"18PG8",2,0.45834593162179,1.71009633017697,0.510814869352623,223.274301556168,262.298439002236,8.04665531316736e-17,"Gamma",229230.762619688,"Normal"
"18RC3",2,0.457118189517608,2.25506167371559,0.300222360000283,222.025091029351,268.136757526939,7.29378591993076e-20,"Gamma",773991.520075048,"Normal"
"18RN",2,0.417596586970084,8,0.215448067101566,234.693628310988,272.326343883581,3.17845794114123e-16,"Gamma",58.7090317589682,"Normal"
"18TM5",2,0.66031568715561,0.991140842087359,1.0214713987388,200.142250404614,266.083147118777,2.12579463354327e-28,"Gamma",2.4828786966163,"Neither"
"18TR1",2,0.442579148341097,2.75676072499163,0.261483684702833,322.527750743832,386.326807314778,1.78093653654021e-27,"Gamma",1746095476401522688,"Normal"
"18WN",2,0.506456476090576,4.27704739548051,0.1,204.585319982038,267.182625707787,5.86808963776059e-27,"Gamma",47552757057561.1,"Normal"
"18AH2",6,0.65150954990242,2.15927803701349,0.322768064605339,186.971646671895,271.289243192661,2.50784156381212e-36,"Gamma",18151475.2151017,"Normal"
"18GL7",6,0.567449418772993,3.00070104267474,0.327277954896833,203.924336436604,266.98267648039,3.7139901603374e-27,"Gamma",1.13648037246398,"Neither"
"18HB9",6,0.595322384496085,2.13383900109874,0.692435426760502,218.734403215654,272.573203334513,3.4680670752447e-23,"Gamma",2.90380572142273,"Neither"
"18JC",6,0.716645549598656,2.5947232089842,0.46984327257237,180.325202974038,265.697864080238,8.78537674864989e-37,"Gamma",1.05592569310302,"Neither"
"18JG",6,0.733242918935181,3.56308600033638,0.314875953485898,176.03084223395,278.462107205547,3.75355513196601e-44,"Gamma",1.42824816014104,"Neither"
"18LS4",6,0.794967072883703,2.85261031449917,0.431237435903554,156.171405809822,256.64630502873,2.62987345569107e-43,"Gamma",4.27568187560376,"Normal"
"18PF6",6,0.612690261832493,1.55896793195111,0.325250669492588,181.11186671084,258.452138393228,2.57623596508596e-33,"Gamma",57199.8747991068,"Normal"
"18PG8",6,0.573606395041292,2.18244655276816,0.3427345189223,197.186416580541,261.553498731031,1.01356941273997e-27,"Gamma",258.323798869599,"Normal"
"18RC3",6,0.709424021203431,2.13189442284146,0.446166579699943,173.118685762352,261.034523302646,7.00768729172173e-38,"Gamma",6.49779359449403,"Normal"
"18RN",6,0.683180072879596,2.76851058534358,0.554400619594358,191.693568542144,263.778447998882,4.76752984590827e-31,"Gamma",22.6570668967124,"Normal"
"18TM5",6,0.780030153261556,2.31463973325866,0.359651610777575,155.506092540413,265.22060154045,2.66776208081379e-47,"Gamma",1.3512922232656,"Neither"
"18TR1",6,0.606665364588907,3.4242188484078,0.202811629461416,249.395464123684,352.243504858479,2.47920626452432e-44,"Gamma",4.39387514389988,"Normal"
"18WN",6,0.795519176913005,2.12338773987669,0.397745562898798,152.282952504207,263.778447998882,4.53043519927663e-48,"Gamma",1.61568997438014,"Neither"
"18AH2",18,0.70033866896362,1.61510215758397,0.526041250430035,177.846248206054,261.90162794257,3.25469982664819e-36,"Gamma",2.60704796607499,"Neither"
"18GL7",18,0.692688599263866,2.33238889280386,0.6526019667394,197.220182148684,265.822445938762,1.51415759917355e-29,"Gamma",9.47151750230371,"Normal"
"18HB9",18,0.584245329383312,2.65821847339606,0.545253607906446,226.049275154221,283.763311420373,7.44600043511539e-25,"Gamma",1.83586657059872,"Neither"
"18JC",18,0.673594849426622,3.08707637170944,0.379838364571442,190.540238367371,273.460775858295,1.0056565798543e-35,"Gamma",1.02331234850223,"Neither"
"18JG",18,0.833119536872028,4.92177437761918,0.2792587258693,134.175069269156,254.244287227838,8.88320016644767e-52,"Gamma",0.0894195666275848,"Gamma"
"18LS4",18,0.738923324836073,2.768119637834,0.50801196486893,174.045922653286,258.688898601415,1.8147475986384e-36,"Gamma",0.303405772792397,"Gamma"
"18PF6",18,0.739798403449578,1.89328593694276,0.442431726895469,173.473051630812,273.239112390101,5.3242352448307e-43,"Gamma",3.73245679345065,"Normal"
"18PG8",18,0.72171380217868,2.64402433785786,0.434355698691978,181.314070939833,273.518460769273,9.84712268587132e-40,"Gamma",0.136930431748569,"Gamma"
"18RC3",18,0.812285942118568,2.62803003216731,0.369800204997321,148.361105890752,264.022901270321,7.15543319604327e-50,"Gamma",0.439828958494532,"Neither"
"18RN",18,0.812228634446478,4.55412491836361,0.40981597179056,163.625271864085,262.881124777353,8.84576427330277e-43,"Gamma",0.240623585001217,"Gamma"
"18TM5",18,0.736938226351934,2.07134158570855,0.418167855324118,173.573325894436,271.379058980505,3.74412593443481e-42,"Gamma",0.544669341661268,"Neither"
"18TR1",18,0.715534204324131,4.26864577195356,0.220190509636845,264.741460270156,434.396758830732,3.07718143755102e-73,"Gamma",1.48241947864506,"Neither"
"18WN",18,0.907548444670537,1.02975895230528,1.20064570470771,150.661446021247,264.022901270321,7.06864718256708e-49,"Gamma",0.00116064215241089,"Gamma"
"18AH2",2,0.756646347936073,-0.266854766818206,1.23472929182301,195.433993998058,262.705016896995,5.67711568114539e-29,"Normal",8945288729625.97,"Normal"
"18GL7",2,0.902232805067026,0.371561646398957,3,222.997753943766,265.76767458695,1.98735148531582e-18,"Normal",17105.7598849291,"Normal"
"18HB9",2,0.565442494487164,0.449130369424995,1.47756341710708,215.246886372511,246.956863389235,1.09213877984326e-13,"Normal",128.680377047045,"Normal"
"18JC",2,0.85508568416968,0.114093086336629,2.08964898667452,206.025829629049,262.470144968831,2.62184928374247e-24,"Normal",154927.350098954,"Normal"
"18JG",2,0.754284572244746,0.842977145148242,0.674738177822065,167.915435028911,263.434822869152,3.64093995093227e-41,"Normal",11.5339861356721,"Normal"
"18LS4",2,0.581519382012552,0.636991546190821,1.33448909321035,235.250281040118,275.905526841758,1.60660981096823e-17,"Normal",1002.36360087642,"Normal"
"18PF6",2,0.769316763350308,0.0784355472816185,0.824413267059483,174.302825328579,264.91538100762,4.79615529097442e-39,"Normal",2343306.99924927,"Normal"
"18PG8",2,0.623629499261127,0.395962471037189,1.04552449115286,210.931817083989,262.298439002236,4.01534113541348e-22,"Normal",229230.762619688,"Normal"
"18RC3",2,0.696666161821091,0.079425344684207,1.21809066849581,208.465774832815,268.136757526939,1.06943044682907e-25,"Normal",773991.520075048,"Normal"
"18RN",2,0.64085283133317,0.894106193274219,1.58183006303998,230.621034732975,272.326343883581,5.69221441788225e-18,"Normal",58.7090317589682,"Normal"
"18TM5",2,0.733539533904166,0.693227640938124,1.15733997215307,199.232831752839,266.083147118777,8.61978219877374e-29,"Normal",2.4828786966163,"Neither"
"18TR1",2,0.842683738946181,-0.234997886549525,1.53180505222669,280.523836931084,386.326807314778,1.30947075223644e-45,"Normal",1746095476401522688,"Normal"
"18WN",2,0.836725789977575,-0.298058280443645,1.06583295122293,173.092459096516,267.182625707787,1.50895663974889e-40,"Normal",47552757057561.1,"Normal"
"18AH2",6,0.887621224630117,0.182931079927129,1.16885740525929,170.257384277454,271.289243192661,1.51091130487024e-43,"Normal",18151475.2151017,"Normal"
"18GL7",6,0.566097361644825,0.953221713147643,0.564544441595473,203.796400342602,266.98267648039,3.27123775884885e-27,"Normal",1.13648037246398,"Neither"
"18HB9",6,0.623972862832157,1.31717162877697,1.03877832885926,217.668381021266,272.573203334513,1.20587213667901e-23,"Normal",2.90380572142273,"Neither"
"18JC",6,0.721696439807353,1.1000287202007,0.744737479190605,180.270785157609,265.697864080238,8.32269173943023e-37,"Normal",1.05592569310302,"Neither"
"18JG",6,0.722924667477194,1.10396308716254,0.524099798970985,175.67439360352,278.462107205547,2.63260810761651e-44,"Normal",1.42824816014104,"Neither"
"18LS4",6,0.783115185441849,1.17042878064672,0.631447141993136,154.718462217088,256.64630502873,6.19464942841067e-44,"Normal",4.27568187560376,"Normal"
"18PF6",6,0.734040887034345,0.213745209768455,0.696947230740435,170.157559722302,258.452138393228,4.80853268336282e-38,"Normal",57199.8747991068,"Normal"
"18PG8",6,0.672936898450137,0.512774732290872,0.829329857642142,191.632202748138,261.553498731031,4.08695382758361e-30,"Normal",258.323798869599,"Normal"
"18RC3",6,0.764613426199302,0.772508561382104,0.817526677256102,171.247223090077,261.034523302646,1.08976302063141e-38,"Normal",6.49779359449403,"Normal"
"18RN",6,0.765769389407872,1.29113565033461,1.11890720022683,188.573096734609,263.778447998882,2.14866891265718e-32,"Normal",22.6570668967124,"Normal"
"18TM5",6,0.787995588242328,0.75661790365763,0.601300574747305,155.205031203369,265.22060154045,1.9769128282938e-47,"Normal",1.3512922232656,"Neither"
"18TR1",6,0.64588347533613,0.616328497335275,0.577949493750965,247.91525256526,352.243504858479,5.68248597704681e-45,"Normal",4.39387514389988,"Normal"
"18WN",6,0.808334914188479,0.76256030389671,0.64524886947948,151.80319041005,263.778447998882,2.80999813913129e-48,"Normal",1.61568997438014,"Neither"
"18AH2",18,0.717249577964598,0.704199175185089,0.703672230283566,176.888029672317,261.90162794257,1.25543648782889e-36,"Normal",2.60704796607499,"Neither"
"18GL7",18,0.674859342608497,1.40774186557812,0.830099280395333,194.971893011208,265.822445938762,1.6242600609667e-30,"Normal",9.47151750230371,"Normal"
"18HB9",18,0.573593473486354,1.39291586132735,0.760433823453481,225.44175853863,283.763311420373,4.07678251709369e-25,"Normal",1.83586657059872,"Neither"
"18JC",18,0.657357542630077,1.12885018614246,0.570924408369653,190.517193601,273.460775858295,9.82881384407093e-36,"Normal",1.02331234850223,"Neither"
"18JG",18,0.829966252551548,1.37406398382261,0.589569546764489,136.589485023826,254.244287227838,9.83473196966254e-51,"Normal",0.0894195666275848,"Gamma"
"18LS4",18,0.713917265542215,1.27778849624165,0.70987226514677,175.238606838532,258.688898601415,5.93945896167789e-36,"Normal",0.303405772792397,"Gamma"
"18PF6",18,0.762564293905851,0.668471291800587,0.682998426414214,172.155984956215,273.239112390101,1.43576190110575e-43,"Normal",3.73245679345065,"Normal"
"18PG8",18,0.711124557286137,1.0962912620899,0.67740485955681,183.302353219415,273.518460769273,7.11421005843188e-39,"Normal",0.136930431748569,"Gamma"
"18RC3",18,0.799825821469673,0.941093446463512,0.573338934598551,149.182475249091,264.022901270321,1.62112984217262e-49,"Normal",0.439828958494532,"Neither"
"18RN",18,0.817066201674045,1.8334232816136,0.857923698042355,165.049793318556,262.881124777353,3.64997146705317e-42,"Normal",0.240623585001217,"Gamma"
"18TM5",18,0.730626117922998,0.828936293256864,0.598372366394377,174.180902275428,271.379058980505,6.85295760212634e-42,"Normal",0.544669341661268,"Neither"
"18TR1",18,0.717278572321519,0.952060324224736,0.465133989243111,264.347784734315,434.396758830732,2.07817610998527e-73,"Normal",1.48241947864506,"Neither"
"18WN",18,0.869927271814569,0.984934944044483,0.949660351878337,157.420227868615,264.022901270321,5.90757344169126e-46,"Normal",0.00116064215241089,"Gamma"
