"","model","latency","efficacy","precision","participant","efficacyEstimate","latencyEstimate","precisionEstimate","val","pLRTest"
"1","Normal",1.5,0.7,0.84,1,0.666690877801916,1.41616758904483,0.92664618176742,484.531681904208,1.59315346198978e-67
"2","Gamma",1.5,0.7,0.84,1,0.713999119996109,2.67995369371044,0.548374808555111,451.471583618934,2.57795906806037e-82
"3","Normal",2,0.7,0.84,1,0.71640249769789,2.06108503766833,0.91475845470704,464.861469458167,3.91214818650921e-77
"4","Gamma",2,0.7,0.84,1,0.685210726278108,7.85429237397049,0.262510918370525,454.468951857975,6.36426506281697e-81
"5","Normal",1.5,0.9,0.84,1,0.911068477063446,1.51201738099501,0.821295075985468,335.084305528266,1.07890109544596e-130
"6","Gamma",1.5,0.9,0.84,1,0.893175278244486,3.36487510964567,0.419013293908574,323.946082672919,2.09865991766731e-135
"7","Normal",2,0.9,0.84,1,0.94009277076478,2.00273437233957,0.905356280872972,327.855065282476,2.69089641866192e-133
"8","Gamma",2,0.9,0.84,1,0.858520999660093,5.87411355088857,0.335021094664701,360.602719026089,4.55990293387282e-120
"9","Normal",1.5,0.7,1.2,1,0.714986327786147,1.46576427163063,1.21481492096073,494.381711797916,2.14615211536748e-64
"10","Gamma",1.5,0.7,1.2,1,0.703198422561517,1.70406354155387,0.794608400133222,470.261118063034,1.70095298233748e-74
"11","Normal",2,0.7,1.2,1,0.741027069392955,1.89455277586212,1.39295013990415,503.155993918518,4.74949229010134e-62
"12","Gamma",2,0.7,1.2,1,0.724600647798431,2.61956978924774,0.857715033995769,488.584014668263,4.03949261399109e-65
"13","Normal",1.5,0.9,1.2,1,0.925524463983509,1.66790023496758,1.24334075521485,392.457649451016,6.92692226745055e-107
"14","Gamma",1.5,0.9,1.2,1,0.935147778200492,1.6138128509951,0.947236534210125,355.210548007291,1.0088779432586e-121
"15","Normal",2,0.9,1.2,1,0.926333445471528,1.97581231038084,1.23112276565183,386.198317250104,5.66574116177841e-108
"16","Gamma",2,0.9,1.2,1,0.877704289847823,2.53445502186103,0.764404816942629,398.18517819593,7.7593229208436e-104
"17","Normal",1.5,0.7,0.84,2,0.771433919312083,1.5023400453936,0.906494183886203,435.164905520063,4.06745699632622e-89
"18","Gamma",1.5,0.7,0.84,2,0.761712055292256,2.48116360071968,0.588906532783599,430.694031811117,1.84183362969641e-90
"19","Normal",2,0.7,0.84,2,0.738107332175668,2.20348652213107,0.894513709362524,447.043301316012,6.54336443311903e-83
"20","Gamma",2,0.7,0.84,2,0.763131216454747,5.86007351569409,0.333431886961518,417.500589479067,8.10682044920773e-96
"21","Normal",1.5,0.9,0.84,2,0.92234667383488,1.50929592811655,0.829176579901758,327.224394923594,9.91323540769981e-134
"22","Gamma",1.5,0.9,0.84,2,0.908045243581147,3.33955142248153,0.419777730189099,315.771461792018,7.75608694996215e-139
"23","Normal",2,0.9,0.84,2,0.893312243225974,2.06235944815194,0.784245932802088,340.632623179016,2.59958488646614e-128
"24","Gamma",2,0.9,0.84,2,0.870894245982501,6.41572612675762,0.31579263131367,351.390324665608,1.08018508858327e-123
"25","Normal",1.5,0.7,1.2,2,0.664239016023943,1.436953955855,1.06572098708889,505.91744431392,1.66318326766687e-61
"26","Gamma",1.5,0.7,1.2,2,0.667935845301192,1.306817364786,1.36064421040751,515.603604682732,1.75771890147434e-54
"27","Normal",2,0.7,1.2,2,0.640131465902158,1.83658948658676,1.04940933657792,505.279620764178,3.28439487749004e-58
"28","Gamma",2,0.7,1.2,2,0.709964768621382,3.81621106509223,0.459332605739598,451.259879030518,7.23797409398161e-81
"29","Normal",1.5,0.9,1.2,2,0.905055986220847,1.49054396001344,1.14234340256011,387.288996906781,1.60119975073356e-107
"30","Gamma",1.5,0.9,1.2,2,0.878404757977779,1.72634366883068,0.783183071743301,373.379806934494,3.50786960619219e-114
"31","Normal",2,0.9,1.2,2,0.911524813034318,1.90508281104843,1.21816404433509,394.725534062904,3.45006053718396e-104
"32","Gamma",2,0.9,1.2,2,0.882684900783462,2.76064216004902,0.716681241127594,389.91965778198,1.66061467941789e-106
"33","Normal",1.5,0.7,0.84,3,0.659217384905612,1.52035427345888,0.758319793841133,473.554137900184,6.11034486339979e-74
"34","Gamma",1.5,0.7,0.84,3,0.713197383643069,4.48108605803752,0.317072508795129,421.23255265211,3.96281454545014e-95
"35","Normal",2,0.7,0.84,3,0.729208861227149,2.03810508430167,0.75129077246236,431.527788108594,1.65927291097044e-89
"36","Gamma",2,0.7,0.84,3,0.717958576035961,6.95848854787489,0.28853357884469,437.36719612427,1.45600010596446e-87
"37","Normal",1.5,0.9,0.84,3,0.908508458664538,1.46761130623287,0.804960682476933,332.945703835753,1.87036548899101e-131
"38","Gamma",1.5,0.9,0.84,3,0.892938952985475,3.83219111305931,0.385213794097669,319.713212593665,1.01252546057226e-136
"39","Normal",2,0.9,0.84,3,0.917760554577134,2.02224974006569,0.852723055332039,338.294393968045,6.41206376413539e-131
"40","Gamma",2,0.9,0.84,3,0.938415338134133,4.99418494707108,0.406509731342605,319.133733074677,5.89386142711393e-137
"41","Normal",1.5,0.7,1.2,3,0.711543844308494,1.62868400945743,1.20897626308984,491.137222332956,3.34294722620945e-64
"42","Gamma",1.5,0.7,1.2,3,0.791376627826657,1.40591794042545,1.11697147655252,446.311710615438,2.09570782440717e-83
"43","Normal",2,0.7,1.2,3,0.651418359726645,1.98725461607889,1.17256739721727,515.799071966991,1.79678899562881e-55
"44","Gamma",2,0.7,1.2,3,0.687943038057505,3.12110755496491,0.602481131611346,480.630789945933,3.72039627309298e-70
"45","Normal",1.5,0.9,1.2,3,0.891937004613857,1.47659572407473,1.14854681244117,398.469485892913,6.1917092598253e-104
"46","Gamma",1.5,0.9,1.2,3,0.851051300916699,1.74289182489918,0.886092871284624,411.123327707641,3.59252835618545e-99
"47","Normal",2,0.9,1.2,3,0.908367260646088,1.9184007675325,1.21758581224742,395.95837621356,7.25398674744405e-104
"48","Gamma",2,0.9,1.2,3,0.916739080110142,3.16024668349046,0.601506465197662,357.809413427938,2.07192427182682e-121
"49","Normal",1.5,0.7,0.84,4,0.69380217922902,1.5560014211323,0.863698525797017,465.609361127666,3.43504810352497e-75
"50","Gamma",1.5,0.7,0.84,4,0.688115676669823,3.59399607894193,0.446187378521888,459.655683158208,1.98393748125283e-79
"51","Normal",2,0.7,0.84,4,0.669232499049396,1.93784976479775,0.75032383559426,464.136469016053,2.40555462172107e-76
"52","Gamma",2,0.7,0.84,4,0.720255783393299,4.40006777089327,0.4405410967297,450.565739249887,6.24358178501479e-82
"53","Normal",1.5,0.9,0.84,4,0.90031116574636,1.46139781793676,0.80617076626644,339.864822204121,4.01602244018554e-129
"54","Gamma",1.5,0.9,0.84,4,0.897262489856914,3.283675839787,0.463563309012081,337.511871796545,6.8573763124908e-130
"55","Normal",2,0.9,0.84,4,0.903257138946746,2.05303867255212,0.752325176630504,326.888885668487,1.98414880509931e-134
"56","Gamma",2,0.9,0.84,4,0.907607855472019,5.28856074602051,0.37262670669103,335.180220121523,2.98176402935234e-131
"57","Normal",1.5,0.7,1.2,4,0.713836586033457,1.55930123921587,1.0527172146429,477.023344286037,1.12804604956047e-70
"58","Gamma",1.5,0.7,1.2,4,0.759177777158034,1.27418184943024,1.23839563956928,466.317154891114,2.02236471362769e-75
"59","Normal",2,0.7,1.2,4,0.750393636804455,2.00651071364356,1.2715885078534,480.245787415336,8.56332834935385e-69
"60","Gamma",2,0.7,1.2,4,0.732751335970371,2.31146526159762,0.870363119192678,480.106303471905,2.32087501715816e-70
"61","Normal",1.5,0.9,1.2,4,0.881630710998225,1.42656005016547,1.35612004230316,429.626751899214,1.70974598224589e-90
"62","Gamma",1.5,0.9,1.2,4,0.8965661713595,1.71683700935349,0.959869758248579,385.2901009867,2.94621798540582e-108
"63","Normal",2,0.9,1.2,4,0.934789286097341,1.92620713128617,1.21065123592624,380.118205631531,6.29825883574198e-111
"64","Gamma",2,0.9,1.2,4,0.871767314905078,3.01975575121393,0.610794611224375,382.449708983569,1.54195730817133e-110
"65","Normal",1.5,0.7,0.84,5,0.783075601182431,1.51602068048182,0.901782591264603,426.5701347358,2.30959034663944e-92
"66","Gamma",1.5,0.7,0.84,5,0.689487191254226,2.6587557020077,0.526829363610111,461.736347645225,1.08745090643116e-77
"67","Normal",2,0.7,0.84,5,0.726440267548585,2.08501152557893,0.852658446376298,453.311706065892,1.16334841001431e-82
"68","Gamma",2,0.7,0.84,5,0.705885239824121,7.82953328659367,0.271121047739122,442.979196898658,2.55594367107648e-84
"69","Normal",1.5,0.9,0.84,5,0.894788508249731,1.43764863633995,0.928942244577215,363.130875724295,1.12020543396466e-118
"70","Gamma",1.5,0.9,0.84,5,0.921848540671021,3.96717691207349,0.400149324654614,310.104017699678,9.05788401042167e-142
"71","Normal",2,0.9,0.84,5,0.910482282726864,2.01027883101924,0.846843420942592,339.334520192829,1.18861136463095e-128
"72","Gamma",2,0.9,0.84,5,0.931730377231219,6.53232928675692,0.320449580659136,312.066599834772,5.26787669357171e-140
"73","Normal",1.5,0.7,1.2,5,0.703864886089759,1.32515693009485,1.25709291973222,502.360679378128,5.05433258409732e-61
"74","Gamma",1.5,0.7,1.2,5,0.675855179933468,1.5265413564204,0.972929523230028,491.986561136321,1.53392723737082e-64
"75","Normal",2,0.7,1.2,5,0.657421004932003,2.04781129309367,1.01740749544513,494.756496988488,6.56828085086045e-62
"76","Gamma",2,0.7,1.2,5,0.744109324515861,2.55522847881276,0.811443846830437,474.664787545984,1.48972800073655e-72
"77","Normal",1.5,0.9,1.2,5,0.890892239763241,1.66205642738122,1.1472882653491,400.019861677979,6.58064760449409e-104
"78","Gamma",1.5,0.9,1.2,5,0.885597808992816,1.98243276507733,0.715713539710955,367.398236722706,2.1319690888951e-116
"79","Normal",2,0.9,1.2,5,0.869459961951948,1.99005722112495,1.12029039732975,406.438655774936,6.29735681931034e-100
"80","Gamma",2,0.9,1.2,5,0.876648670977267,2.24062234700625,0.995632535590608,422.887298097889,3.60812780133069e-93
"81","Normal",1.5,0.7,0.84,6,0.725781401355137,1.40620639102686,0.913115214179044,459.176028254218,3.74393590615232e-79
"82","Gamma",1.5,0.7,0.84,6,0.690058798993364,2.91992365826886,0.472388983376891,451.712494014838,2.73899135422678e-81
"83","Normal",2,0.7,0.84,6,0.720016451734531,2.09974405027488,0.886004155034074,455.206033408624,4.27223433247795e-80
"84","Gamma",2,0.7,0.84,6,0.730763617936071,6.70868374309032,0.290743570384576,428.601273693677,3.30083692743254e-91
"85","Normal",1.5,0.9,0.84,6,0.919323463160992,1.56808823700442,0.761206838106682,316.135851802154,1.06817981965347e-138
"86","Gamma",1.5,0.9,0.84,6,0.906478020984958,3.20565731512749,0.465842245238541,324.062424099915,2.57706574475921e-135
"87","Normal",2,0.9,0.84,6,0.882581472554431,2.02076497830262,0.834487900016937,361.18831583174,1.23468041260992e-121
"88","Gamma",2,0.9,0.84,6,0.914829187193799,5.52102546303311,0.362055864217656,327.466080064024,3.61931833266011e-134
"89","Normal",1.5,0.7,1.2,6,0.683690196726444,1.48605435302501,1.3540268490621,515.653711533091,8.02324445319378e-55
"90","Gamma",1.5,0.7,1.2,6,0.719036980109923,1.29092191014629,1.187684357487,481.151718150443,1.05766502984081e-68
"91","Normal",2,0.7,1.2,6,0.758752218761635,1.92018846817809,1.17307264484002,467.996748121672,4.1584033342619e-74
"92","Gamma",2,0.7,1.2,6,0.708134027412922,2.35751853278325,0.87010471576796,486.634777685278,2.4990253674172e-65
"93","Normal",1.5,0.9,1.2,6,0.880136155971092,1.54824940989782,1.16555953764886,409.039576278089,9.39232468700116e-100
"94","Gamma",1.5,0.9,1.2,6,0.925273489636456,1.44818649568482,1.02007531568899,362.706320346862,1.07242521892778e-118
"95","Normal",2,0.9,1.2,6,0.854610976612727,2.0906976256318,1.0684659879105,408.517889719982,2.30910222821042e-99
"96","Gamma",2,0.9,1.2,6,0.865629218333619,2.61155086510945,0.740210762988339,401.396559867525,3.29582264511516e-102
"97","Normal",1.5,0.7,0.84,7,0.702033149822745,1.50179050995342,0.890273834477621,467.166273374042,5.65858226996258e-76
"98","Gamma",1.5,0.7,0.84,7,0.734356675651991,3.04226759427179,0.502590261709075,433.56797981125,7.68936713368274e-88
"99","Normal",2,0.7,0.84,7,0.688803503520587,1.94311415424445,0.795241380014173,461.331108357182,1.17523535708031e-77
"100","Gamma",2,0.7,0.84,7,0.693065302469898,6.18283440143052,0.32766598030009,456.660283482224,3.41428803576163e-80
"101","Normal",1.5,0.9,0.84,7,0.925766373230567,1.4886060562479,0.908246057440196,337.950891185169,4.38431567156755e-129
"102","Gamma",1.5,0.9,0.84,7,0.910459333823737,3.23477289212476,0.448035671893209,321.062232289305,4.55113759396248e-137
"103","Normal",2,0.9,0.84,7,0.893263498725451,2.01166841322596,0.845483663723964,349.917844201456,7.78901650413996e-124
"104","Gamma",2,0.9,0.84,7,0.86770872992384,6.763146053663,0.291497022136582,345.515490606852,6.07674934394354e-126
"105","Normal",1.5,0.7,1.2,7,0.73428047583522,1.42586196094911,1.32229080960645,492.498255567141,1.04391433257986e-63
"106","Gamma",1.5,0.7,1.2,7,0.704335859169468,1.7437179984422,0.838619851327663,477.219484816039,7.486922802322e-72
"107","Normal",2,0.7,1.2,7,0.750041414147149,2.00489969148306,1.07696260209591,460.745147129897,1.55229889388204e-76
"108","Gamma",2,0.7,1.2,7,0.684673456891555,3.00876704257647,0.679076920368212,488.446140377874,6.85301469018833e-66
"109","Normal",1.5,0.9,1.2,7,0.901966613552882,1.47857796611383,1.14270799212929,388.222401255593,2.98872295629211e-107
"110","Gamma",1.5,0.9,1.2,7,0.91628949149051,1.81029405722257,0.801518644801572,355.973111098862,2.56714324080971e-121
"111","Normal",2,0.9,1.2,7,0.915272124636853,1.97277181554691,1.27193302371711,399.779396716737,9.88382003667789e-103
"112","Gamma",2,0.9,1.2,7,0.867690583629446,2.5941667311656,0.790342362247338,411.593571044958,1.47251765154545e-97
"113","Normal",1.5,0.7,0.84,8,0.757975287775653,1.55109724848522,0.797557563386164,425.708821003702,3.38929332935492e-93
"114","Gamma",1.5,0.7,0.84,8,0.677798575093506,2.49379634046295,0.649724562258165,480.377438163147,7.3522321059111e-70
"115","Normal",2,0.7,0.84,8,0.728216150940804,1.95996231936159,0.857810868720761,447.909578651565,9.4049304303813e-83
"116","Gamma",2,0.7,0.84,8,0.669443823523227,7.87344623455073,0.232327577239727,451.560628411654,5.00378860106662e-83
"117","Normal",1.5,0.9,0.84,8,0.927858258060692,1.4599553327756,0.844809447266496,326.402854279397,2.44231432134342e-134
"118","Gamma",1.5,0.9,0.84,8,0.890722936587583,3.56429385091401,0.444925715628844,338.15067224444,2.45137052749323e-129
"119","Normal",2,0.9,0.84,8,0.876775549966109,2.03598389210921,0.926288233835902,372.770747509437,3.47921926247897e-114
"120","Gamma",2,0.9,0.84,8,0.865947792938681,5.13958234403346,0.377723847690103,362.096142979255,1.31300657291072e-119
"121","Normal",1.5,0.7,1.2,8,0.70957405458902,1.55008658285446,1.10507096579789,482.713036712907,4.53584765583911e-68
"122","Gamma",1.5,0.7,1.2,8,0.715488478873379,1.69007641512274,1.04925324417,490.184323729404,1.79666161140494e-66
"123","Normal",2,0.7,1.2,8,0.643361710388856,2.17182570380042,1.03544484460369,503.901005143772,5.55341417367364e-59
"124","Gamma",2,0.7,1.2,8,0.716571642540097,3.37230921231841,0.567067326929739,461.300135590955,3.33170860034855e-76
"125","Normal",1.5,0.9,1.2,8,0.896298209278271,1.49957781216018,1.06063932633947,382.896031835008,8.13480470354442e-110
"126","Gamma",1.5,0.9,1.2,8,0.912419452375419,1.69199637153908,0.810403760589175,353.269800699225,2.71907495298704e-122
"127","Normal",2,0.9,1.2,8,0.926881231205773,2.12491543929806,1.26972455365694,390.128358803224,2.7879121494165e-106
"128","Gamma",2,0.9,1.2,8,0.934165385536608,2.5801173739014,0.783109910538454,367.538450289788,2.52468824974113e-116
"129","Normal",1.5,0.7,0.84,9,0.693466495280727,1.48829717903385,0.850367941562345,466.550856434565,1.36389967928829e-75
"130","Gamma",1.5,0.7,0.84,9,0.715788163608107,3.6782453522152,0.400173995592483,433.021750478607,1.26895916424201e-90
"131","Normal",2,0.7,0.84,9,0.709718726830989,2.07591818441184,0.79498335365506,448.138604266108,1.38103595180051e-82
"132","Gamma",2,0.7,0.84,9,0.643542204402499,6.53653628303324,0.327004608325397,487.996973535578,4.80388697085471e-68
"133","Normal",1.5,0.9,0.84,9,0.931826938958383,1.43694129473844,0.829691284731046,320.538748931026,2.48486222466781e-136
"134","Gamma",1.5,0.9,0.84,9,0.926477653499076,3.77170559140895,0.424765214344635,306.912605684106,1.67111049389391e-142
"135","Normal",2,0.9,0.84,9,0.919187129095487,1.98422585708015,0.793068433129982,324.019440304444,2.53965085432507e-135
"136","Gamma",2,0.9,0.84,9,0.851694623237428,5.5215487431248,0.346253724425162,364.405695294485,3.20945230273017e-118
"137","Normal",1.5,0.7,1.2,9,0.722984521822762,1.53395743424147,1.290952282483,497.878192751674,5.30553221525841e-63
"138","Gamma",1.5,0.7,1.2,9,0.722980942057061,1.70620949427252,0.790336690838561,459.218464688362,1.50792744096258e-77
"139","Normal",2,0.7,1.2,9,0.649482947583496,2.00032996911606,1.31115510983971,522.89590562028,9.01305081423049e-51
"140","Gamma",2,0.7,1.2,9,0.652228891125562,2.5480278044247,0.756298162938998,504.781707945134,1.72165410749911e-59
"141","Normal",1.5,0.9,1.2,9,0.913460573898872,1.5037935905296,1.15632373931417,386.980642423574,9.65134612188099e-109
"142","Gamma",1.5,0.9,1.2,9,0.882770606434644,1.31258783524879,1.09684890424923,389.763978880344,1.15866350274188e-106
"143","Normal",2,0.9,1.2,9,0.902005397380632,1.92269813789592,1.15076739785252,391.724645736892,4.19650333529764e-106
"144","Gamma",2,0.9,1.2,9,0.893376877777652,2.64922352177381,0.750662656933396,385.13064958938,2.40950938675421e-108
"145","Normal",1.5,0.7,0.84,10,0.632290477079091,1.47238671904407,0.77794517056423,489.919514019635,9.01689173705978e-68
"146","Gamma",1.5,0.7,0.84,10,0.712636622646529,3.1561965161331,0.527246028140429,453.518131258645,9.28299581545883e-80
"147","Normal",2,0.7,0.84,10,0.665649211291774,1.9431231012334,0.857332062862691,478.728742569922,1.69231034312446e-70
"148","Gamma",2,0.7,0.84,10,0.690786848278017,6.97149950064892,0.294174019721844,456.210147906369,5.85331591075948e-81
"149","Normal",1.5,0.9,0.84,10,0.919721243176283,1.59589537580111,0.788833901217482,322.776515594192,6.09169110878203e-136
"150","Gamma",1.5,0.9,0.84,10,0.893466957609385,3.39132342735949,0.460654656516733,337.083561308601,2.47992027851207e-129
"151","Normal",2,0.9,0.84,10,0.867733896911989,1.89278677123449,0.784996247210242,359.416247460725,2.85125260487482e-121
"152","Gamma",2,0.9,0.84,10,0.86062362968789,5.40039964428796,0.358735038448371,361.831026945521,6.01087214773527e-119
"153","Normal",1.5,0.7,1.2,10,0.684241592439561,1.48911059925577,1.1841387684709,503.539833839625,1.76227920238231e-60
"154","Gamma",1.5,0.7,1.2,10,0.718602779166478,1.31488016004079,1.13546348434667,476.774293328645,1.93064623928488e-70
"155","Normal",2,0.7,1.2,10,0.644922283509412,2.07278992525203,1.2655231309361,524.492329109954,2.19591968731671e-51
"156","Gamma",2,0.7,1.2,10,0.631825325961037,2.50058732553788,0.781384715875457,513.71999950351,7.99743711836998e-55
"157","Normal",1.5,0.9,1.2,10,0.8600315504299,1.48518506217714,1.17092835385489,417.935485938963,5.65628442155775e-95
"158","Gamma",1.5,0.9,1.2,10,0.858122551403316,1.28156272910009,1.0932539841242,408.767835875062,2.39636852411904e-100
"159","Normal",2,0.9,1.2,10,0.883301174168112,1.94010876689494,1.17940112459095,406.973229361752,4.95751553390824e-100
"160","Gamma",2,0.9,1.2,10,0.92619444373648,3.18262232205883,0.649741630003794,364.29555872924,3.28011038225226e-118
"161","Normal",1.5,0.7,0.84,11,0.720155461668072,1.59693727630139,1.0033457027231,468.180410523713,1.00184627026357e-73
"162","Gamma",1.5,0.7,0.84,11,0.656503909955774,3.01690449229185,0.514295092522055,481.180122454351,1.7477186504738e-70
"163","Normal",2,0.7,0.84,11,0.690970724354992,2.00347490527345,0.81956651184889,462.584889510096,1.49885220630557e-77
"164","Gamma",2,0.7,0.84,11,0.707974020972083,5.48379582113674,0.340950477984631,444.01422218129,2.60877923962145e-84
"165","Normal",1.5,0.9,0.84,11,0.889629564675004,1.47265646475727,0.884243552876443,358.67929192265,3.52500741108875e-120
"166","Gamma",1.5,0.9,0.84,11,0.884662662992507,3.17058052469014,0.509685319418047,351.519319219833,2.99490825742193e-123
"167","Normal",2,0.9,0.84,11,0.919884495067785,2.04747829221144,0.868648437616089,339.651281622838,6.09056649972135e-130
"168","Gamma",2,0.9,0.84,11,0.876304759108888,5.94353230332467,0.322619555782057,345.392240450025,1.5294428811846e-126
"169","Normal",1.5,0.7,1.2,11,0.721179121837366,1.71588662717239,1.10332275084338,476.351501609988,1.57845074891067e-69
"170","Gamma",1.5,0.7,1.2,11,0.649191523642433,2.06980456360147,0.776529557200104,497.664139177474,1.3175656075847e-62
"171","Normal",2,0.7,1.2,11,0.70873990750283,2.0448380729991,1.34031284556502,508.612680107139,5.01188917039227e-59
"172","Gamma",2,0.7,1.2,11,0.662916111438366,2.71511646001363,0.763183898328974,500.18130333739,2.98048152785288e-60
"173","Normal",1.5,0.9,1.2,11,0.919495661111151,1.45840561777486,1.11079566899337,374.450313773985,5.72570012940451e-113
"174","Gamma",1.5,0.9,1.2,11,0.938472987481448,1.27974789452853,1.27912641381076,374.191901685311,9.14351360337839e-114
"175","Normal",2,0.9,1.2,11,0.936282273798168,1.89253849789766,1.2443642816045,381.280999412314,6.3388651999746e-110
"176","Gamma",2,0.9,1.2,11,0.8899960591596,3.22100684816616,0.60705785780996,377.016386226303,1.01871965106248e-112
"177","Normal",1.5,0.7,0.84,12,0.709539131459865,1.589477778073,0.834539192850417,453.405686174339,8.08083463249509e-81
"178","Gamma",1.5,0.7,0.84,12,0.695062414638156,3.23433767128166,0.436672704741891,451.602914410801,2.58588029185413e-83
"179","Normal",2,0.7,0.84,12,0.733578863101691,1.98048888864084,0.924068888594764,455.413201144085,2.12102317952426e-80
"180","Gamma",2,0.7,0.84,12,0.72862994615941,6.34867998563856,0.337893495760265,441.874510645764,3.28914497399016e-85
"181","Normal",1.5,0.9,0.84,12,0.942880516870887,1.48494961727684,0.940743070671487,332.635878838811,6.19773431918936e-132
"182","Gamma",1.5,0.9,0.84,12,0.879588658078422,3.25247214975833,0.474101455122559,346.978718631024,1.82410036964054e-125
"183","Normal",2,0.9,0.84,12,0.911165327052257,1.98133721550763,0.740501947499968,316.736461859853,3.79889725247198e-138
"184","Gamma",2,0.9,0.84,12,0.93207101406252,4.79700209368535,0.418867708462936,324.938783460933,1.75546762809869e-135
"185","Normal",1.5,0.7,1.2,12,0.723730978230416,1.42673570313049,1.22224321271685,493.023090514273,4.05175089959017e-65
"186","Gamma",1.5,0.7,1.2,12,0.676500805100093,1.22243967680453,1.07556623511508,491.282411867728,4.70558311590768e-65
"187","Normal",2,0.7,1.2,12,0.66206693463544,1.90330427759426,1.14926466319153,508.781442263498,8.32661468587622e-58
"188","Gamma",2,0.7,1.2,12,0.640391868015562,3.77231121793158,0.504224810689969,491.245128763726,3.80453614698577e-64
"189","Normal",1.5,0.9,1.2,12,0.89369548040559,1.35144193488149,1.1602865983699,397.879480449397,9.79802530193269e-104
"190","Gamma",1.5,0.9,1.2,12,0.928294658509258,1.38690214389439,1.08446109789933,364.51222962157,1.19816218420675e-117
"191","Normal",2,0.9,1.2,12,0.918442693138269,2.12523678255128,1.22080349306224,390.113843577427,2.62860285187528e-106
"192","Gamma",2,0.9,1.2,12,0.916176391878755,2.83843794735938,0.730619422858922,373.194669600888,1.6548882731545e-113
"193","Normal",1.5,0.7,0.84,13,0.626635279899936,1.46340666883367,0.832202784875001,495.529334530421,9.46293572213207e-64
"194","Gamma",1.5,0.7,0.84,13,0.70072284427126,2.90863059141059,0.474858028351944,446.926335550603,2.44026003715807e-84
"195","Normal",2,0.7,0.84,13,0.659284116156248,2.0565294984427,0.805415048608949,478.244906258201,3.39381929070372e-71
"196","Gamma",2,0.7,0.84,13,0.674839796217212,5.28569914304908,0.352394534739609,469.123307562168,1.10540427868985e-76
"197","Normal",1.5,0.9,0.84,13,0.902921568448177,1.42050184034584,0.90188396435081,353.200759731831,7.72077362361793e-123
"198","Gamma",1.5,0.9,0.84,13,0.879380742000345,2.87244819908994,0.507189643191902,352.706872137162,2.23734882794572e-123
"199","Normal",2,0.9,0.84,13,0.91727940981621,1.99439926305908,0.881275653080595,341.887903275868,6.81841539115871e-128
"200","Gamma",2,0.9,0.84,13,0.908677168524445,5.62857528754632,0.367557107207474,338.598544077915,1.47156185517042e-129
