Participant,nStream,Confidence,Parameter,Model,Estimate,Lower,Upper
AJ7,twoStreams,High,Latency,Normal,34.2228,14.2150,54.2306
AN14,twoStreams,High,Latency,Normal,63.7718,38.7349,88.8087
BB6,twoStreams,High,Latency,Normal,32.6932,16.3755,49.0109
IK4,twoStreams,High,Latency,Normal,50.0000,12.9847,87.0152
JA8,twoStreams,High,Latency,Normal,11.5588,-10.8424,33.9599
LH9,twoStreams,High,Latency,Normal,0.0000,-77.0025,77.0025
LS2,twoStreams,High,Latency,Normal,48.8199,21.5059,76.1339
LT5,twoStreams,High,Latency,Normal,38.8902,16.0820,61.6984
RN12,twoStreams,High,Latency,Normal,NaN,NaN,NaN
YZ15,twoStreams,High,Latency,Normal,-41.6667,-46.3304,-37.0029
AJ7,twoStreams,Low,Latency,Normal,14.5014,-33.8960,62.8987
AN14,twoStreams,Low,Latency,Normal,65.9990,42.4824,89.5156
BB6,twoStreams,Low,Latency,Normal,18.8355,-6.4674,44.1385
IK4,twoStreams,Low,Latency,Normal,79.7510,59.6509,99.8511
JA8,twoStreams,Low,Latency,Normal,10.6913,-23.1537,44.5362
LH9,twoStreams,Low,Latency,Normal,79.4520,62.0927,96.8114
LS2,twoStreams,Low,Latency,Normal,32.2120,9.8335,54.5906
LT5,twoStreams,Low,Latency,Normal,66.2598,50.7036,81.8160
RN12,twoStreams,Low,Latency,Normal,69.1531,53.4949,84.8113
YZ15,twoStreams,Low,Latency,Normal,45.4606,17.5683,73.3529
AJ7,eightStreams,High,Latency,Normal,86.2086,71.0316,101.3855
AN14,eightStreams,High,Latency,Normal,113.7048,96.9498,130.4598
BB6,eightStreams,High,Latency,Normal,42.4661,11.1351,73.7970
IK4,eightStreams,High,Latency,Normal,95.9446,79.8305,112.0587
JA8,eightStreams,High,Latency,Normal,42.5244,-9.3486,94.3974
LH9,eightStreams,High,Latency,Normal,NaN,NaN,NaN
LS2,eightStreams,High,Latency,Normal,122.1916,-176.9749,421.3580
LT5,eightStreams,High,Latency,Normal,42.9811,-48.4658,134.4279
RN12,eightStreams,High,Latency,Normal,124.8954,123.7066,126.0843
YZ15,eightStreams,High,Latency,Normal,NaN,NaN,NaN
AJ7,eightStreams,Low,Latency,Normal,94.4434,71.9374,116.9494
AN14,eightStreams,Low,Latency,Normal,155.2661,125.6318,184.9004
BB6,eightStreams,Low,Latency,Normal,45.8637,32.5361,59.1913
IK4,eightStreams,Low,Latency,Normal,106.2747,86.8925,125.6568
JA8,eightStreams,Low,Latency,Normal,83.6740,64.0680,103.2800
LH9,eightStreams,Low,Latency,Normal,104.5611,89.5410,119.5812
LS2,eightStreams,Low,Latency,Normal,93.2563,78.6553,107.8573
LT5,eightStreams,Low,Latency,Normal,84.3871,72.8313,95.9429
RN12,eightStreams,Low,Latency,Normal,77.9173,63.0202,92.8145
YZ15,eightStreams,Low,Latency,Normal,96.6628,84.3062,109.0195